VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602020501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Videos_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Watching videos/DVDs?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602020502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602030101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602030102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602030202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602030301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602030302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Thursday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602030401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Thursday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602030402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
