VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX641001_Firearms_In_Home,Are any firearms kept in or around your home?,DCW_641001.doc,encoded values,,,,,,,PhenX,PX641001010000,,,,,1 = Yes,2 = No,7 = Don’t know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX641001_Firearms_Loaded,Are any of these firearms now loaded?,DCW_641001.doc,encoded values,,,,,,,PhenX,PX641001020000,,,,,1 = Yes,2 = No,7 = Don’t know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX641001_Loaded_Firearms_Unlocked,"Are any of these loaded firearms also unlocked? By unlocked, we mean you do not need a key or combination to get the gun or to fire it. We don’t count a safety as a lock.",DCW_641001.doc,encoded values,,,,,,,PhenX,PX641001030000,,,,,1 = Yes,2 = No,7 = Don’t know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
