VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740902_Selfreported_Methodof_Purchase_Cigarillos,How [do/did] you usually buy [[CIGARFILL]s/ cigarillos/ filtered cigars] for yourself [when you smoke blunts]? Is it...,DCW_740902.doc,encoded values,,,,,Ask if current users and former user 12-month OR blunt-only cigar smokers,"For current smokers, display 'do' and [CIGARFILLs]; for 12-month former [CIGARFILL] smokers, display 'did' and [CIGARFILLs]; IF BLUNT_ONLY_GRILLO=1, display 'do', 'cigarillos', and 'when you smoke blunts'; IF BLUNT_ONLY_GFC=1, display 'do', 'filtered cigars', and 'when you smoke blunts'",PhenX,PX740902010000,,,,,1 = In person (such as at a store or cigar bar),2 = From the internet,3 = By telephone,4 = I [do|did] not buy my own [CIGARFILL]s,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740902_Selfreported_Locationof_Purchase_Cigarillos,[Do/Did] you usually buy [[CIGARFILL]s/cigarillos for blunts/filtered cigars for blunts]...?,DCW_740902.doc,encoded values,,,,,skip logic,ASK IF BLUNT_ONLY_GRILLO=1 OR BLUNT_ONLY_GFC=1 AND Q1=1,PhenX,PX740902020000,,,,,1 = In your own state,2 = In another state,3 = Outside the US,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740902_Selfreported_Locationof_Vendor_Cigarillos,Where [do/did] you buy your [[CIGARFILL]s/cigarillos for blunts/filtered cigars for blunts] most of the time?,DCW_740902.doc,encoded values,,,,,skip logic,ASK IF BLUNT_ONLY_GRILLO=1 OR BLUNT_ONLY_GFC=1 AND Q1=1,PhenX,PX740902030100,,,,,1 = A convenience store or gas station,"2 = A supermarket, grocery store, or drug store","3 = A warehouse club, such as Sam's or Costco","4 = A smoke shop, tobacco specialty store, or tobacco outlet store",5 = A duty-free shop or military commisionary,"6 = A bar, pub, restaurant, or casino",7 = A friend or relative,8 = A swap meet or flea market,9 = A store on an Indian reservation,10 = A liquor store,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740902_Selfreported_Locationof_Vendor_Cigarillos_OtherVendorEncoded,Where [do/did] you buy your [[CIGARFILL]s/cigarillos for blunts/filtered cigars for blunts] most of the time?,DCW_740902.doc,encoded values,,,,,skip logic,ASK IF BLUNT_ONLY_GRILLO=1 OR BLUNT_ONLY_GFC=1 AND Q1=1,PhenX,PX740902030201,,,,,11 = Or somewhere else SPECIFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740902_Selfreported_Locationof_Vendor_Cigarillos_OtherVendor,Where [do/did] you buy your [[CIGARFILL]s/cigarillos for blunts/filtered cigars for blunts] most of the time?,DCW_740902.doc,string,,,,,skip logic,ASK IF BLUNT_ONLY_GRILLO=1 OR BLUNT_ONLY_GFC=1 AND Q1=1,PhenX,PX740902030202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
