VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX750701_Media_Use_Hours_On_TV,"On an average day, how many hours do you spend…On a TV set (such as watching live TV or TV, movies, or other video (such as Netflix) through Xbox, Roku, DVR, Smart TV; playing video games)",DCW_750701.doc,integer,hour,0,24,,,,PhenX,PX750701010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX750701_Media_Use_Minutes_On_TV,"On an average day, how many minutes do you spend…On a TV set (such as watching live TV or TV, movies, or other video (such as Netflix) through Xbox, Roku, DVR, Smart TV; playing video games)",DCW_750701.doc,integer,minute,0,59,,,,PhenX,PX750701010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX750701_Media_Use_Hours_On_Computer,"On an average day, how many hours do you spend…On a Desktop or Laptop Computer (such as spending time online, playing games, watching video)",DCW_750701.doc,integer,hour,0,24,,,,PhenX,PX750701010201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX750701_Media_Use_Minutes_On_Computer,"On an average day, how many minutes do you spend…On a Desktop or Laptop Computer (such as spending time online, playing games, watching video)",DCW_750701.doc,integer,minute,0,59,,,,PhenX,PX750701010202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX750701_Media_Use_Hours_On_Mobile,"On an average day, how many hours do you spend…On Your Smartphone or Tablet (such as spending time on apps, spending time online, playing games, watching video, etc.)",DCW_750701.doc,integer,hour,0,24,,,,PhenX,PX750701010301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX750701_Media_Use_Minutes_On_Mobile,"On an average day, how many minutes do you spend…On Your Smartphone or Tablet (such as spending time on apps, spending time online, playing games, watching video, etc.)",DCW_750701.doc,integer,minute,0,59,,,,PhenX,PX750701010302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX750701_Media_Use_Time_Social_Media,"On an average day, how much time do you spend on any social media site (ex: Facebook, Twitter, YouTube, Pinterest, Snapchat)?",DCW_750701.doc,enumerated,,,,,,,PhenX,PX750701020000,,,,,None,Less than 1 hour,1 hour to <3 hours,3 hours to <6 hours,6 hours or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
