VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740907_Selfreported_Methodof_Purchase_Smokeless,How [do/did] you usually buy [SMKLSSFILL] tobacco for yourself? Is it…,DCW_740907.doc,encoded values,,,,,skip logic,"Ask if current users, experimental current users, 30-day user HOOK, and former users 12 month",PhenX,PX740907010000,,,,,1 = In person (such as at a store or hookah bar),2 = From the internet,3 = By telephone,4 = I [do/did] not buy my own [cigarettes/cigarette tobacco],(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740907_Selfreported_Locationof_Purchase_Smokeless,[Do/Did] you usually buy [SMKLSSFILL] tobacco...?,DCW_740907.doc,encoded values,,,,,skip logic,ASK IF Q1=1,PhenX,PX740907020000,,,,,1 = In your own state,2 = In another state,3 = Outside the US,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740907_Selfreported_Locationof_Vendor_Smokeless,Where [do/did] you buy your [SMKLSSFILL] tobacco most of the time?,DCW_740907.doc,encoded values,,,,,skip logic,ASK IF Q1=1,PhenX,PX740907030100,,,,,1 = A convenience store or gas station,"2 = A supermarket, grocery store, or drug store","3 = A warehouse club, such as Sam's or Costco","4 = A smoke shop, tobacco specialty store, or tobacco outlet store",5 = A duty-free shop or military commisionary,"6 = A bar, pub, restaurant, or casino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740907_Selfreported_Locationof_Vendor_Smokeless_OtherVendorEncoded,Where [do/did] you buy your [SMKLSSFILL] tobacco most of the time?,DCW_740907.doc,encoded values,,,,,skip logic,ASK IF Q1=1,PhenX,PX740907030201,,,,,11 = Or somewhere else SPECIFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740907_Selfreported_Locationof_Vendor_Smokeless_OtherVendor,Where [do/did] you buy your [SMKLSSFILL] tobacco most of the time?,DCW_740907.doc,string,,,,,skip logic,ASK IF Q1=1,PhenX,PX740907030202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
