VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Write,Please indicate your preferences in the use of hands in writing.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602010000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Draw,Please indicate your preferences in the use of hands in drawing.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602020000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Throw,Please indicate your preferences in the use of hands in throwing.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602030000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Hold_Racquet,Please indicate your preferences in the use of hands in holding a racquet.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602040000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Clean_Teeth,Please indicate your preferences in the use of hands in cleaning teeth.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602050000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Hammer,Please indicate your preferences in the use of hands in hammering.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602060000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Strike_Match,Please indicate your preferences in the use of hands in striking a match.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602070000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Use_Eraser,Please indicate your preferences in the use of hands in using an eraser.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602080000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Deal_Card,Please indicate your preferences in the use of hands in dealing cards.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602090000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Thread_Needle,Please indicate your preferences in the use of hands in threading a needle.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602100000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Cut_Food,Please indicate your preferences in the use of hands in cutting food with a knife.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602110000,,,,,Right hand,Left hand,Both hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Total_Right,"How many ""Right hand"" in Questions 1-11?",DCW_020602.doc,integer,,0,11,,,,PhenX,PX020602120100,,,,,0..11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Total_Left,"How many ""Left hand"" in Questions 1-11?",DCW_020602.doc,integer,,0,11,,,,PhenX,PX020602120200,,,,,0..11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Hand_Total_Both,"How many ""Both hands"" in Questions 1-11?",DCW_020602.doc,integer,,0,11,,,,PhenX,PX020602120300,,,,,0..11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Handedness_Score,SCORE = 100 x (TOTAL_RIGHT - TOTAL_LEFT) / (TOTAL_RIGHT + TOTAL_LEFT + TOTAL_BOTH),DCW_020602.doc,decimal,,,,,,,PhenX,PX020602120400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020602_Handedness,Handedness is classified by the score.,DCW_020602.doc,enumerated,,,,,,,PhenX,PX020602120500,,,,,Left-handed,Mixed-handed,Right-handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
