VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX710901_Influence_Parents_Guardians_Smoke,"Do any of your parents, step-parents, or guardians now smoke cigarettes?",DCW_710901.doc,encoded values,,,,,,,PhenX,PX710901010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX710901_Influence_Have_Older_Siblings,Do you have any older brothers or sisters?,DCW_710901.doc,encoded values,,,,,,,PhenX,PX710901020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX710901_Influence_Older_Siblings_Smoke,Do your older brothers or sisters smoke cigarettes?,DCW_710901.doc,encoded values,,,,,,,PhenX,PX710901030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX710901_Influence_Friends_Male_Smoke,"Of your best friends who are male, how many of them smoke?  Number?",DCW_710901.doc,integer,,0,99,,,,PhenX,PX710901040000,,,,,Number __,No Male Friends,(-7) = Refused,(-8) = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX710901_Influence_Friends_Female_Smoke,"Of your best friends who are female, how many of them smoke? Number?",DCW_710901.doc,integer,,0,99,,,,PhenX,PX710901050000,,,,,Number __,No Female Friends,(-7) = Refused,(-8) = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
