VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_Refractive_Error_Instrument_Model,Model of instrument used to measure Refractive Error,DCW_111401.doc,string,,,,,,,PhenX,PX111401010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_Right_Eye_Spherical_Power,Right Eye Spherical Power measured,DCW_111401.doc,Numeric,diopter (D),,,,,,PhenX,PX111401020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_Right_Eye_Cylinder_Axis,Right Eye Cylinder Axis measured,DCW_111401.doc,Numeric,degree (&#186;),,,,,,PhenX,PX111401030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_Right_Eye_Cylindrical_Power,Right Eye Cylindrical Power measured,DCW_111401.doc,Numeric,diopter (D),,,,,,PhenX,PX111401040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_RightEye_Best_Corrected_Visual_Acuity,Right Eye Best Corrected Visual Acuity measured,DCW_111401.doc,string,,,,,,,PhenX,PX111401050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_Left_Eye_Spherical_Power,Left Eye Spherical Power measured,DCW_111401.doc,Numeric,diopter (D),,,,,,PhenX,PX111401060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_Left_Eye_Cylinder_Axis,Left Eye Cylinder Axis measured,DCW_111401.doc,Numeric,degree (&#186;),,,,,,PhenX,PX111401070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_Left_Eye_Cylindrical_Power,Left Eye Cylindrical Power measured,DCW_111401.doc,Numeric,diopter (D),,,,,,PhenX,PX111401080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111401_LeftEye_Best_Corrected_Visual_Acuity,Left Eye Best Corrected Visual Acuity measured,DCW_111401.doc,string,,,,,,,PhenX,PX111401090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
