VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740802_TobaccoPrice_Cigar_UsuallyBuy_BoxSingle,ASK: Current users and blunt-only cigar smokers  Do you usually buy [[CIGARFILL]s/cigarillos for blunts/filtered cigars for blunts] by the box or as single [[CIGARFILL]s/cigarillos/filtered cigars]?,DCW_740802.doc,encoded values,,,,,skip logic,ASK IF CURRENT USER AND BLUNT-ONLY CIGAR SMOKER,PhenX,PX740802010000,,,,,1 = Box (GO TO Q2),2 = Single [[CIGARFILL]s/cigarillos/filtered cigars] (GO TO Q4),(-8) = Don't know [END QUESTIONS],(-7) = Refused [END QUESTIONS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740802_TobaccoPrice_Cigar_HowMany_Cigars_Box,ASK: Current users and blunt-only cigar smokers How many [[CIGARFILL]s/cigarillos/filtered cigars] come in the box that you usually buy [for blunts]?,DCW_740802.doc,decimal,dollars,,,,skip logic,ASK IF CURRENT USER AND BLUNT-ONLY CIGAR SMOKER,PhenX,PX740802020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740802_TobaccoPrice_Cigar_HowMany_Cigars_BoxEncoded,ASK: Current users and blunt-only cigar smokers How many [[CIGARFILL]s/cigarillos/filtered cigars] come in the box that you usually buy [for blunts]?,DCW_740802.doc,encoded values,,,,,skip logic,ASK IF CURRENT USER AND BLUNT-ONLY CIGAR SMOKER,PhenX,PX740802020200,,,,,(-8) = Don't know,(-7) = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740802_TobaccoPrice_Cigar_How_Much_Box,ASK: Current users and blunt-only cigar smokers How much do you usually pay for a box of [[CIGARFILL]s/cigarillos for blunts/filtered cigars for blunts]?,DCW_740802.doc,decimal,dollars,,,,skip logic,ASK IF CURRENT USER AND BLUNT-ONLY CIGAR SMOKER,PhenX,PX740802030100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740802_TobaccoPrice_Cigar_How_Much_BoxEncoded,ASK: Current users and blunt-only cigar smokers How much do you usually pay for a box of [[CIGARFILL]s/cigarillos for blunts/filtered cigars for blunts]?,DCW_740802.doc,encoded values,,,,,skip logic,ASK IF CURRENT USER AND BLUNT-ONLY CIGAR SMOKER,PhenX,PX740802030200,,,,,(-8) = Don't know,(-7) = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740802_TobaccoPrice_Cigar_How_Much_Single,ASK: Current users and blunt-only cigar smokers  How much do you usually pay for a single [[CIGARFILL]/cigarillo for a blunt/filtered cigar for a blunt]?,DCW_740802.doc,decimal,dollars,,,,skip logic,ASK IF CURRENT USER AND BLUNT-ONLY CIGAR SMOKER,PhenX,PX740802040100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740802_TobaccoPrice_Cigar_How_Much_SingleEncoded,ASK: Current users and blunt-only cigar smokers  How much do you usually pay for a single [[CIGARFILL]/cigarillo for a blunt/filtered cigar for a blunt]?,DCW_740802.doc,encoded values,,,,,skip logic,ASK IF CURRENT USER AND BLUNT-ONLY CIGAR SMOKER,PhenX,PX740802040200,,,,,(-8) = Don't know,(-7) = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
