VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX010301_Mother_Birthplace,Where was your biological mother born?,DCW_010301.doc,enumerated,,,,,,,PhenX,PX010301010000,,,,,In the United States,Outside the United States,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX010301_Mother_Birthplace_Location,"Where was your biological mother born?  In the United States - Print name of state  Outside the United States - Print U.S. Territory (e.g., Puerto Rico, U.S. Virgin Islands, Guam) or name of foreign country etc.",DCW_010301.doc,string,,,,,,,PhenX,PX010301020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX010301_Father_Birthplace,Where was your biological father born?,DCW_010301.doc,enumerated,,,,,,,PhenX,PX010301030000,,,,,In the United States,Outside the United States,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX010301_Father_Birthplace_Location,"Where was your biological father born?  In the United States - Print name of state  Outside the United States - Print U.S. Territory (e.g., Puerto Rico, U.S. Virgin Islands, Guam) or name of foreign country etc.",DCW_010301.doc,string,,,,,,,PhenX,PX010301040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
