VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Get_Beer_Wine_Liquor,"If you wanted to get some beer, wine, or hard liquor (for example, vodka, whiskey, or gin), how easy would it be for you to get some?",DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101010000,,,,,1 = Very hard,2 = Sort of hard,3 = Sort of easy,4 = Very easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Get_Cigarettes,"If you wanted to get some cigarettes, how easy would it be for you to get some?",DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101020000,,,,,1 = Very hard,2 = Sort of hard,3 = Sort of easy,4 = Very easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Kid_Smoked_Marijuana_Get_Caught,"If a kid smoked marijuana in your neighborhood, would he or she be caught by the police?",DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101030000,,,,,4 = NO!,3 = no,2 = yes,1 = YES!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Get_Cocaine_Lsd_Amphetamines,"If you wanted to get a drug like cocaine, LSD, or amphetamines, how easy would it be for you to get some?",DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101040000,,,,,1 = Very hard,2 = Sort of hard,3 = Sort of easy,4 = Very easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Kid_Drank_Get_Caught,"If a kid drank some beer, wine, or hard liquor (for example, vodka, whiskey, or gin) in your neighborhood, would he or she be caught by the police?",DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101050000,,,,,4 = NO!,3 = no,2 = yes,1 = YES!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Get_Handgun,"If you wanted to get a handgun, how easy would it be for you to get one?",DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101060000,,,,,1 = Very hard,2 = Sort of hard,3 = Sort of easy,4 = Very easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Kid_Carried_Handgun_Get_Caught,If a kid carried a handgun in your neighborhood would he or she be caught by the police?,DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101070000,,,,,4 = NO!,3 = no,2 = yes,1 = YES!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Marijuana_How_Easy_For_You,"If you wanted to get some marijuana, how easy would it be for you to get some?",DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101080000,,,,,1 = Very hard,2 = Sort of hard,3 = Sort of easy,4 = Very easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Kid_Smoked_Cigarette_Get_Caught,If a kid smoked a cigarette in your neighborhood would he or she be caught by the police?,DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101090000,,,,,4 = NO!,3 = no,2 = yes,1 = YES!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX540101_Adults_Attitude_Kid_Using_Marijuana,How wrong would most adults (over 21) in your neighborhood think it is for kids your age: to use marijuana?,DCW_540101.doc,encoded values,,,,,,,PhenX,PX540101100100,,,,,1 = Very wrong,2 = Wrong,3 = A little bit wrong,4 = Not wrong at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
