VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_1_Feets,"Standing Height measured in centimeter, first measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_1_Inches,"Standing Height measured in centimeter, first measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_1_Meters,"Standing Height measured in centimeter, first measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_2_Feets,"Standing Height measured in centimeter, second measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_2_Inches,"Standing Height measured in centimeter, second measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101020200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_2_Meters,"Standing Height measured in centimeter, second measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101020300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_3_Feets,"Standing Height measured in centimeter, third measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101030100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_3_Inches,"Standing Height measured in centimeter, third measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101030200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_3_Meters,"Standing Height measured in centimeter, third measurement",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101030300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_Average_Feets,"Standing Height measured in centimeter, average",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101040100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_Average_Inches,"Standing Height measured in centimeter, average",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101040200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Standing_Height_Average_Meters,"Standing Height measured in centimeter, average",DCW_570101.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX570101040300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Cast_Or_Medical_Prosthesis,Record whether the participant is wearing a cast or prosthesis.,DCW_570101.doc,enumerated,,,,,,,PhenX,PX570101050100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Cast_Or_Medical_Prosthesis_Location,"If the participant is wearing one, record the location of a cast or medical prosthesis",DCW_570101.doc,string,,,,,,,PhenX,PX570101050200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Street_Clothes,Record whether or not the participant is wearing street (as opposed to a gown) clothes during measurement.,DCW_570101.doc,enumerated,,,,,,,PhenX,PX570101060000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_1_Pounds,"Measured weight in lbs, first measurement",DCW_570101.doc,decimal,Pound,1,1000,,,,PhenX,PX570101070100,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_2_Pounds,"Measured weight in lbs, second measurement",DCW_570101.doc,decimal,Pound,1,1000,,,,PhenX,PX570101070200,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_3_Pounds,"Measured weight in lbs, third measurement",DCW_570101.doc,decimal,Pound,1,1000,,,,PhenX,PX570101070300,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_Average_Pounds,"Measured weight in lbs, average",DCW_570101.doc,decimal,Pound,1,1000,,"If it is necessary to take a third measurement, the two closest measurements are averaged. Should the third measurement fall equally between the first two measurements, all three should be averaged.",,PhenX,PX570101070400,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_1_Kilograms,"Measured weight in kg, first measurement",DCW_570101.doc,decimal,Kilogram,1,1000,,,,PhenX,PX570101070500,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_2_Kilograms,"Measured weight in kg, second measurement",DCW_570101.doc,decimal,Kilogram,1,1000,,,,PhenX,PX570101070600,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_3_Kilograms,"Measured weight in kg, third measurement",DCW_570101.doc,decimal,Kilogram,1,1000,,,,PhenX,PX570101070700,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_Measured_Weight_Average_Kilograms,"Measured weight in kg, average",DCW_570101.doc,decimal,Kilogram,1,1000,,"If it is necessary to take a third measurement, the two closest measurements are averaged. Should the third measurement fall equally between the first two measurements, all three should be averaged.",,PhenX,PX570101070800,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_BMI _Kilogram_Per_Squaremeter,calculated BMI in kg/m2,DCW_570101.doc,decimal,kg/m2,1,1000,,,,PhenX,PX570101080100,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX570101_BMI _Pound_Per_Squareinch,calculated BMI in lb/in2,DCW_570101.doc,decimal,lb/in2,1,1000,,,,PhenX,PX570101080200,,,,,1..1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
