VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Stories_Immediate,Did the child repeat each story immediately after it was told?,DCW_130802.doc,enumerated,,,,,,,PhenX,PX13080201010000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Stories_Immediate_Questions1,Did the child answer the yes/no questions correctly for Story #1?,DCW_130802.doc,enumerated,,,,,,,PhenX,PX13080201010100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Stories_Immediate_Questions2,Did the child answer the yes/no questions correctly for Story #2?,DCW_130802.doc,enumerated,,,,,,,PhenX,PX13080201010200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Stories_Delayed,Did the child repeat each story 30 minutes after it was told?,DCW_130802.doc,enumerated,,,,,,,PhenX,PX13080201020000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Stories_Delayed_Questions1,Did the child answer the yes/no questions correctly for Story #1?,DCW_130802.doc,enumerated,,,,,,,PhenX,PX13080201020100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Stories_Delayed_Questions2,Did the child answer the yes/no questions correctly for Story #2?,DCW_130802.doc,enumerated,,,,,,,PhenX,PX13080201020200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Word_Pairs_Learning_Immediate,How many word pairs did the child repeat immediately after being read three repetitions of word pairs?,DCW_130802.doc,numeric,pairs,,,,,,PhenX,PX13080201030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Word_Pairs_Learning_Delayed,How many word pairs did the child repeat 30 minutes after being read three repetitions of word pairs?,DCW_130802.doc,numeric,pairs,,,,,,PhenX,PX13080201040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Word_Pairs_Learning_Delayed_Recognition,How many word pairs did the child correctly recognize to be part of the original list?,DCW_130802.doc,numeric,pairs,,,,,,PhenX,PX13080201050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Word_List_Immediate,"Immediately after being given the distractor list, how many words did the child correctly repeat from the first word list?",DCW_130802.doc,numeric,words,,,,,,PhenX,PX13080201060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Word_List_Delayed,"Thirty minutes after being given the distractor list, how many words did the child correctly repeat from the first word list?",DCW_130802.doc,numeric,words,,,,,,PhenX,PX13080201070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130802_Verbal_Memory_Child_Word_List_Delayed_Recognition,How many specific words did the child correctly recognize to be part of the original list?,DCW_130802.doc,numeric,words,,,,,,PhenX,PX13080201080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
