VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Time_Of_Collection,Time vacuum bag was emptied,DCW_061201.doc,Time,,,,,,,PhenX,PX061201010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Number_Days_Used,Number of Days Vacuum Has Been Used Since Changing Out the Bag or Emptying the Collection Chamber,DCW_061201.doc,integer,,,,,,,PhenX,PX061201020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Sample_Weight,Weight of dust collected,DCW_061201.doc,integer,gram,,,,,,PhenX,PX061201030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_1,Name of first organic compound measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_1_Amount,Concentration of first organic compound measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201040100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_2,Name of second organic compound measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_2_Amount,Concentration of second organic compound measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201050100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_3,Name of third organic compound measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_3_Amount,Concentration of third organic compound measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201060100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_4,Name of fourth organic compound measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_4_Amount,Concentration of fourth organic compound measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201070100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_5,Name of fifth organic compound measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Organic_Compound_5_Amount,Concentration of fifth organic compound measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201080100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_1,Name of first allergen measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_1_Amount,Concentration of first allergen measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201090100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_2,Name of second allergen measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_2_Amount,Concentration of second allergen measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201100100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_3,Name of third allergen measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_3_Amount,Concentration of third allergen measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201110100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_4,Name of fourth allergen measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_4_Amount,Concentration of fourth allergen measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201120100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_5,Name of fifth allergen measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Allergen_5_Amount,Concentration of fifth allergen measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201130100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_1,Name of first endotoxin measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_1_Amount,Concentration of first endotoxin measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201140100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_2,Name of second endotoxin measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_2_Amount,Concentration of second endotoxin measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201150100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_3,Name of third endotoxin measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_3_Amount,Concentration of third endotoxin measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201160100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_4,Name of fourth endotoxin measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_4_Amount,Concentration of fourth endotoxin measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201170100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_5,Name of fifth endotoxin measured,DCW_061201.doc,string,,,,,,,PhenX,PX061201180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061201_Endotoxin_5_Amount,Concentration of fifth endotoxin measured,DCW_061201.doc,integer,,,,,Specify units,,PhenX,PX061201180100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
