VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Total_Population,Total Population,DCW_211401.doc,integer,,,,,,,PhenX,PX211401010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic,Not Hispanic or Latino,DCW_211401.doc,integer,,,,,,,PhenX,PX211401020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic_White_Alone,Not Hispanic or Latino - White alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic_Black_Alone,Not Hispanic or Latino - Black or African American alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic_Native_American_Alone,Not Hispanic or Latino - American Indian and Alaska Native alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic_Asian_Alone,Not Hispanic or Latino - Asian alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic_Hawaiian_PacificIslander_Alone,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic_Other_Race_Alone,Not Hispanic or Latino - Some other race alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Not_Hispanic_TwoOrMore_Races_Alone,Not Hispanic or Latino - Two or more races alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic,Hispanic or Latino,DCW_211401.doc,integer,,,,,,,PhenX,PX211401100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic_White_Alone,Hispanic or Latino - White alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic_Black_Alone,Hispanic or Latino - Black or African American alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic_Native_American_Alone,Hispanic or Latino - American Indian and Alaska Native alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic_Asian_Alone,Hispanic or Latino - Asian alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic_Hawaiian_PacificIslander_Alone,Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic_Other_Race_Alone,Hispanic or Latino - Some other race alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX211401_Hispanic_TwoOrMore_Races_Alone,Hispanic or Latino - Two or more races alone,DCW_211401.doc,integer,,,,,,,PhenX,PX211401170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
