VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_1_Feets,"Standing Height measured in centimeter, first measurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_1_Inches,"Standing Height measured in centimeter, first measurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_1_Meters,"Standing Height measured in centimeter, first measurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_2_Feets,"Standing Height measured in centimeter, secondmeasurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_2_Inches,"Standing Height measured in centimeter, secondmeasurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703020200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_2_Meters,"Standing Height measured in centimeter, secondmeasurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703020300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_3_Feets,"Standing Height measured in centimeter, third measurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703030100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_3_Inches,"Standing Height measured in centimeter, third measurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703030200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_3_Meters,"Standing Height measured in centimeter, third measurement",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703030300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_Average_Feets,"Standing Height measured in centimeter, average",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703040100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_Average_Inches,"Standing Height measured in centimeter, average",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703040200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020703_Standing_Height_Average_Meters,"Standing Height measured in centimeter, average",DCW_020703.doc,decimal,Centimeter,,,,Standing Height is recorded to the nearest 0.1 cm,,PhenX,PX020703040300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
