"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Flavored_Traditional_Cigars","Please indicate which of the following products are ADVERTISED anywhere outside the store: FLAVORED traditional cigars (including mint, menthol, or wintergreen)","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002058000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Nonflavored_Traditional_Cigars","Please indicate which of the following products are ADVERTISED anywhere outside the store: NON-FLAVORED traditional cigars","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002059000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Chew","Please indicate which of the following products are ADVERTISED anywhere outside the store: Chew, snuff, dip, or snus?","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051100","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Flavored Chew","Please indicate which of the following products are ADVERTISED anywhere outside the store: FLAVORED chew, snuff, dip, or snus (including mint, menthol, or wintergreen)","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051200","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Nonflavored Chew","Please indicate which of the following products are ADVERTISED anywhere outside the store: NON-FLAVORED chew, snuff, dip, or snus","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051300","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_E_Cigarettes","Please indicate which of the following products are ADVERTISED anywhere outside the store: E-Cigarettes","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051400","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Flavored_E_Cigarettes","Please indicate which of the following products are ADVERTISED anywhere outside the store: FLAVORED e-cigarettes (including mint, menthol, or wintergreen)","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051500","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Nonflavored_E_Cigarettes","Please indicate which of the following products are ADVERTISED anywhere outside the store: NON-FLAVORED e-cigarettes (tobacco flavor only)","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051600","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Hookah","Please indicate which of the following products are ADVERTISED anywhere outside the store: Hookah","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051700","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Flavored_Hookah","Please indicate which of the following products are ADVERTISED anywhere outside the store: FLAVORED hookah (including mint, menthol, or wintergreen)","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051800","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Advertise_Outside_Store_Nonflavored_Hookah","Please indicate which of the following products are ADVERTISED anywhere outside the store: NON-FLAVORED hookah","DCW_741002.doc","encoded values","","","","","ASK IF 'Please indicate which of the following products are ADVERTISED anywhere outside the store:' = 'Yes'","","","PX741002051900","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Interior_WIC","Is WIC accepted here?","DCW_741002.doc","enumerated","","","","","","","","PX741002061000","","","","","Yes","No","Unsure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Interior_SNAP","Is SNAP accepted here?","DCW_741002.doc","enumerated","","","","","","","","PX741002062000","","","","","Yes","No","Unsure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Alcoholic_Beverages","Are alcoholic beverages sold here?","DCW_741002.doc","enumerated","","","","","","","","PX741002070000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Pharmacy_Counter","Is a pharmacy counter present?","DCW_741002.doc","enumerated","","","","","","","","PX741002080000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Tabacco_Sold","Is tobacco sold here?","DCW_741002.doc","enumerated","","","","","","","","PX741002090000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Tabacco_Coupons","Are there indications that mobile tobacco coupons are accepted here?","DCW_741002.doc","enumerated","","","","","","","","PX741002100000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Near_Youth_Products","Are ANY tobacco products placed within 12 of youth products?","DCW_741002.doc","enumerated","","","","","","","","PX741002110000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Near_Floor","Are ANY tobacco products advertised within 3 feet of the floor?","DCW_741002.doc","enumerated","","","","","","","","PX741002120000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cigarettes_Sold","Any cigarettes sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002131000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Menthol_Cigarettes_Sold","Are any NON-MENTHOL cigarettes sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002132000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Menthol_Cigarettes_Cheapest","Enter CHEAPEST advertised price of a single pack of non-menthol cigarettes:","DCW_741002.doc","decimal","dollars","","","","","","","PX741002133000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Menthol_Cigarettes_Cheapest_Brand","Enter BRAND information for the cheapest single pack of non-menthol cigarettes (e.g. Pall Mall Red):","DCW_741002.doc","string","","","","","","","","PX741002134000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Menthol_Cigarettes_Sold","Are MENTHOL cigarettes SOLD here?","DCW_741002.doc","encoded values","","","","","","","","PX741002135000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Menthol_Cigarettes_Cheapest","Enter CHEAPEST advertised price of a single pack of menthol cigarettes:","DCW_741002.doc","decimal","dollars","","","","","","","PX741002136000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Menthol_Cigarettes_Cheapest_Brand","Enter BRAND information for the cheapest single pack of menthol cigarettes (e.g. Traffic Menthol Green, L&M Menthol, Pall Mall Menthol, etc.):","DCW_741002.doc","string","","","","","","","","PX741002137000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Newport_Brand_Sold","Are Newport Menthol cigarette single packs (regular hard pack) sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002138000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Newport_Menthol_Price","Enter the advertised price of Newport Menthol cigarette single pack (regular hard pack):","DCW_741002.doc","decimal","dollars","","","","","","","PX741002139000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Methol_Capsules_Sold","Are any cigarettes with menthol capsules in the filter sold here? (e.g. Camel Crush, Marlboro NXT)?","DCW_741002.doc","encoded values","","","","","","","","PX741002131100","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cigarette_Price_Promotions","Are there ANY cigarette price promotions?","DCW_741002.doc","encoded values","","","","","","","","PX741002131200","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
