"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_E_Cigarette_Sold","Are e-cigarette products SOLD here?","DCW_741002.doc","encoded values","","","","","","","","PX741002171000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Mint_Menthol_Wintergreen_E_Cigarette_Sold","Are any e-cigarette products flavored with MINT, MENTHOL, or WINTERGREEN sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002172000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Other_Mint_Menthol_Wintergreen_E_Cigarette_Sold","Are any e-cigarette products with flavors OTHER THAN mint, menthol, or wintergreen sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002173000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Flavored_E_Cigarette_Sold","Are any NON-FLAVORED e-cigarette products sold here? (tobacco flavor only)","DCW_741002.doc","encoded values","","","","","","","","PX741002174000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_E_Cigarette_Price_Promotions","Any there any e-cigarette price promotions?","DCW_741002.doc","encoded values","","","","","","","","PX741002175000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Mint_Menthol_Wintergreen_E_Cigarette_Price_Promotions","Any price promotions for e-cigarette products flavored with MINT, MENTHOL, or WINTERGREEN?","DCW_741002.doc","encoded values","","","","","","","","PX741002176000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Other_Mint_Menthol_Wintergreen_E_Cigarette_Price_Promotions","Any price promotions for e-cigarette products with flavors OTHER THAN mint, menthol, or WINTERGREEN?","DCW_741002.doc","encoded values","","","","","","","","PX741002177000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Flavored_E_Cigarette_Price_Promotions","Any price promotions for NON-FLAVORED e-cigarette products? (tobacco flavor only)","DCW_741002.doc","encoded values","","","","","","","","PX741002178000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Liquid_Droppers_Sold","Are e-liquid in droppers sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002179000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Liquid_Droppers_Cheapest_Price","What is the cheapest advertised price of a dropper of e-liquid?","DCW_741002.doc","decimal","dollars","","","","ASK IF 'Are e-liquid in droppers sold here?' = '1'","","","PX741002171100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Liquid_Droppers_Ounces","How many ounces are in the cheapest dropper of e-liquid?","DCW_741002.doc","integer","oz.","","","","ASK IF 'Are e-liquid in droppers sold here?' = '1'","","","PX741002171200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Disposable_E_Cigarettes_Sold","Are any single disposable e-cigarettes sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002171300","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Disposable_E_Cigarettes_Cheapest_Price","Enter the CHEAPEST advertised price for a single disposable e-cigarette:","DCW_741002.doc","decimal","dollars","","","","ASK IF 'Are any single disposable e-cigarettes sold here?' = '1'","","","PX741002171400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Pod_Mod_E_Cigarette","Are any \"pod mod\" e-cigarette products sold here (e.g. JUUL, MyBlu, Vuse Alto, NJOY ACE, ETC.)?","DCW_741002.doc","encoded values","","","","","","","","PX741002171500","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Any_Pod_Mod_Devices_Sold","Are any \"pod mod\" devices sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002171600","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cheapest_Pod_Mod_Device","Enter the CHEAPEST advertised price for a \"pod mod\" device:","DCW_741002.doc","decimal","dollars","","","","ASK IF 'Are any \"pod mod\" devices sold here?' = '1'","","","PX741002171700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Any_Pod_Mod_Cartridges_Sold","Are any \"pod mod\" cartridges sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002171800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cheapest_Pod_Mod_Cartridges","Enter the CHEAPEST advertised price for a pack of \"pod mod\" cartridges:","DCW_741002.doc","decimal","dollars","","","","ASK IF 'Are any \"pod mod\" cartridges sold here?' = '1'","","","PX741002171900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cheapest_Pod_Mod_Cartridges_Number","How many \"pod mod\" cartridges does the cheapest pack contain?","DCW_741002.doc","integer","","","","","ASK IF 'Are any \"pod mod\" cartridges sold here?' = '1'","","","PX741002172100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Any_Pod_Mod_Starter_Kits_Sold","Are any \"pod mod\" starter kits sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002172200","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cheapest_Price_Pod_Mod_Starter_Kits","Enter the CHEAPEST advertised price for a \"pod mod\" starter kit:","DCW_741002.doc","decimal","dollars","","","","ASK IF 'Are any \"pod mod\" starter kits sold here?' = '1'","","","PX741002172300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_E_Cigarette_Zero_Nicotine","Are any e-cigarette products advertised as containing zero nicotine sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002172400","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_E_Cigarette_Self_Service_Displays","Are any e-cigarette products in self-service displays?","DCW_741002.doc","encoded values","","","","","","","","PX741002172500","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Sold","Is hookah SOLD here?","DCW_741002.doc","encoded values","","","","","","","","PX741002181000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Mint_Menthol_Wintergreen_Sold","Any hookah flavored with MINT, MENTHOL, or WINTERGREEN sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002182000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Other_Mint_Menthol_Wintergreen_Sold","Any hookah with flavors OTHER THAN mint, menthol, or wintergreen sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002183000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Non_Flavored_Sold","Any NON-FLAVORED hookah sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002184000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Ambiguous_Flavors_Sold","Any hookah with AMBIGUOUS FLAVOR DESCRIPTORS sold here (e.g. Starbuzz \"Blue Mist)?","DCW_741002.doc","encoded values","","","","","","","","PX741002185000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Price_Promotions","Any there any hookah price promotions?","DCW_741002.doc","encoded values","","","","","","","","PX741002186000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Price_Promotions_Mint_Menthol_Wintergreen","Any price promotions for hookah flavored with MINT, MENTHOL, or WINTERGREEN?","DCW_741002.doc","encoded values","","","","","","","","PX741002187000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Price_Promotions_Other_Mint_Menthol_Wintergreen","Any price promotions for hookah with flavors OTHER THAN mint, menthol, or wintergreen?","DCW_741002.doc","encoded values","","","","","","","","PX741002188000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Price_Promotions_Non_Flavored","Any price promotions for NON-FLAVORED hookah?","DCW_741002.doc","encoded values","","","","","","","","PX741002189000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Hookah_Self_Service_Displays","Is any hookah in self-service displays?","DCW_741002.doc","encoded values","","","","","","","","PX741002181100","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Inventory_Mint_Menthol_Wintergreen","What percent of the total tobacco inventory in the store is: Mint, menthol, or wintergreen products","DCW_741002.doc","enumerated","","","","","","","","PX741002191000","","","","","None","Less than 10%","11-25%","26-50%","51-75%","76-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Inventory_Other_Flavored_Products","What percent of the total tobacco inventory in the store is: Other-flavored products","DCW_741002.doc","enumerated","","","","","","","","PX741002192000","","","","","None","Less than 10%","11-25%","26-50%","51-75%","76-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Inventory_Non_Flavored_Products","What percent of the total tobacco inventory in the store is: Non-flavored products","DCW_741002.doc","enumerated","","","","","","","","PX741002193000","","","","","None","Less than 10%","11-25%","26-50%","51-75%","76-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Field_Notes","ALMOST DONE! ANY FIELD NOTES?","DCW_741002.doc","enumerated","","","","","","","","PX741002201000","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Enter_Field_Notes","Enter field notes:","DCW_741002.doc","string","","","","","","","","PX741002202000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
