VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Run_Away_From_Home,How many times in the last year did you run away from your home and stay away overnight?,DCW_181202.doc,integer,,1,700,,,,PhenX,PX181202010000,,,,,1..700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Run_Away_From_Home_Coded,How many times in the last year did you run away from your home and stay away overnight?,DCW_181202.doc,encoded values,,,,,,,PhenX,PX181202010100,,,,,000 = respondent did not engage in behavior in the past year,001 - 700 = number of times,777 = don't know,999 = missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Carry_Hidden_Weapon,How many times in the last year did you carry a hidden weapon?,DCW_181202.doc,integer,,1,700,,,,PhenX,PX181202020000,,,,,1..700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Carry_Hidden_Weapon_Coded,How many times in the last year did you carry a hidden weapon?,DCW_181202.doc,encoded values,,,,,,,PhenX,PX181202020100,,,,,000 = respondent did not engage in behavior in the past year,001 - 700 = number of times,777 = don't know,999 = missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Loud_Rowdy_Unruly,"How many times in the last year were you loud, rowdy, or unruly in a public place so that people complained about it or you got into trouble?",DCW_181202.doc,integer,,1,700,,,,PhenX,PX181202030000,,,,,1..700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Loud_Rowdy_Unruly_Coded,"How many times in the last year were you loud, rowdy, or unruly in a public place so that people complained about it or you got into trouble?",DCW_181202.doc,encoded values,,,,,,,PhenX,PX181202030100,,,,,000 = respondent did not engage in behavior in the past year,001 - 700 = number of times,777 = don't know,999 = missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Damaged_Destroyed_Property,How many times in the last year did you purposely damage or destroy property that did not belong to you?,DCW_181202.doc,integer,,1,700,,,,PhenX,PX181202040000,,,,,1..700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Damaged_Destroyed_Property_Coded,How many times in the last year did you purposely damage or destroy property that did not belong to you?,DCW_181202.doc,encoded values,,,,,,,PhenX,PX181202040100,,,,,000 = respondent did not engage in behavior in the past year,001 - 700 = number of times,777 = don't know,999 = missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Purposely_Set_Fire,"How many times in the last year did you purposely set fire to a house, building, car or other property or try to do so?",DCW_181202.doc,integer,,1,700,,,,PhenX,PX181202050000,,,,,1..700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX181202_Purposely_Set_Fire_Coded,"How many times in the last year did you purposely set fire to a house, building, car or other property or try to do so?",DCW_181202.doc,encoded values,,,,,,,PhenX,PX181202050100,,,,,000 = respondent did not engage in behavior in the past year,001 - 700 = number of times,777 = don't know,999 = missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
