VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_6months_CouponGotten,"In the past 6 months, have you gotten a discount coupon for any tobacco product?",DCW_740401.doc,encoded values,,,,,,,PhenX,PX740401010000,,,,,1 = Yes,2 = No,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_Coupons_From,Where did you get discount coupons from? Choose all that apply.,DCW_740401.doc,encoded values,,,,,,,PhenX,PX740401020100,,,,,1 = The mail,2 = E-mail,3 = The Internet,4 = Social Networks (such as Facebook and Twitter),5 = A text message,6 = On a cigarette pack or other tobacco product,7 = From a friend or other person,8 = Some other way: SPECIFY___________________,(-8) = DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_Coupons_From_OtherWay,Where did you get discount coupons from? Choose all that apply.,DCW_740401.doc,string,,,,,,,PhenX,PX740401020200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_6months_EmailCoupons,"In the past 6 months, have you received an e-mail message with promotions or coupons for cigarettes or tobacco products?",DCW_740401.doc,encoded values,,,,,,,PhenX,PX740401030000,,,,,1 = Yes,2 = No,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_6months_MailCoupons,"In the past 6 months, have you received promotions or coupons for cigarettes or tobacco products in the mail?",DCW_740401.doc,encoded values,,,,,,,PhenX,PX740401040000,,,,,1 = Yes,2 = No,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_6months_CouponUsed,"In the past 6 months, have you used a discount coupon to purchase a tobacco product?",DCW_740401.doc,encoded values,,,,,skip logic,ASK: Respondents who have obtained a discount coupon,PhenX,PX740401050000,,,,,1 = Yes,2 = No,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_30days_BuySpecialOffer,"In the past 30 days, when you were in a store that sells tobacco, did you buy a brand of tobacco product other than your usual brand because you noticed a special price offer?",DCW_740401.doc,encoded values,,,,,skip logic,ASK: Current tobacco users who have a regular brand,PhenX,PX740401060000,,,,,1 = Yes,2 = No,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_30days_BoughtAlternateBrand_Promotion,"In the past 30 days, have you bought a brand of tobacco product other than your usual brand because of a promotion?",DCW_740401.doc,encoded values,,,,,skip logic,ASK: Current tobacco users who have a regular brand,PhenX,PX740401070000,,,,,1 = Yes,2 = No,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_30days_BoughtAlternateBrand_Promotion_Frequency,"In the past 30 days, has this happened just once or twice, a few times, or quite regularly?",DCW_740401.doc,encoded values,,,,,skip logic,ASK: Respondents who bought a brand other than their usual brand because it was on sale,PhenX,PX740401080000,,,,,1 = Once or twice,2 = A few times,3 = Quite regularly,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX740401_Tobacco_PricePromotions_30days_BoughtBecauseof_Promotion,"In the past 30 days, have you ever bought a brand of tobacco product because you noticed a promotion for it?",DCW_740401.doc,encoded values,,,,,,,PhenX,PX740401090000,,,,,1 = Yes,2 = No,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
