VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Home_Indoors,"In your opinion, inside a home, should smoking…",DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301010000,,,,,1 = Always be allowed,2 = Be allowed only at some times,3 = Never be allowed,4 = SMOKING RESTRICTIONS INSIDE A HOME SHOULD BE WHATEVER THE PEOPLE WHO LIVE THERE DECIDE (Note to reader: The interviewer will not read this response. It will only be coded if the respondent volunteers the response.),7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Workplace_Indoors,"At workplaces, do you think smoking indoors should be…?",DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301020000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Workplace_Outdoors,"At workplaces, do you think smoking outdoors should be…?",DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301030000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Restaurants_Indoors,Should smoking indoors in restaurants…?,DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301040000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Casinos_Bars,"Should smoking indoors in bars, casinos, or clubs…?",DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301050000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Parks,Should smoking at parks…?,DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301060000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Public_Places,Should policies that don’t allow tobacco use in indoor or outdoor public places be strictly enforced?,DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301070000,,,,,1 = YES,2 = NO,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Increased_Tax,Would you be in favor of an increase in the tax on a pack of cigarettes if the money were used to improve the public’s health?,DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301080000,,,,,1 = YES,2 = NO [GO TO Q10],7 = DON'T KNOW/NOT SURE [GO TO Q10],9 = REFUSED [GO TO Q10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Increase_Amount,Current prices for a pack of cigarettes range from about four to eight dollars. Would you be in favor of an additional tax on a pack of cigarettes of…,DCW_751301.doc,encoded values,,,,,skip logic,,PhenX,PX751301090000,,,,,1 = More than two dollars a pack?,2 = Up to two dollars a pack?,3 = Up to one dollar a pack?,4 = Up to fifty cents a pack?,5 = NO TAX INCREASE,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Tax_Smokeless,"Would you be in favor of an increase in the tax on chewing tobacco, snuff, dip, or snus if the money were used to improve the public’s health?",DCW_751301.doc,encoded values,,,,,skip logic,,PhenX,PX751301100000,,,,,1 = YES,2 = NO,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX751301_Tobacco_Related_Policies_Underage_Sales,How important is it to prevent sales of tobacco products to youth under 18…?,DCW_751301.doc,encoded values,,,,,,,PhenX,PX751301110000,,,,,1 = Not at all important,2 = Somewhat important,3 = Very important,7 = DON'T KNOW/NOT SURE,9 = REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
