VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Participant_Wants_To_Play,Participant wants to play the game.,DCW_530201.doc,encoded values,,,,,,,PhenX,PX530201000000,,,,,1 = yes,2 = no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Participant_Understands_The_Rules,Participant understands the rules of the game.,DCW_530201.doc,encoded values,,,,,,,PhenX,PX530201010000,,,,,1 = yes,2 = no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Deck_Chosen_Card_1,Deck card 1 was chosen from,DCW_530201.doc,integer,,,,,,,PhenX,PX530201030100,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Won_Card1,Number of candies won with card 1.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201030200,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Lost_Card1,Number of candies lost with card 1.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201030300,,,,,0,1,2,6,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Deck_Chosen_Card_2,Deck card 2 was chosen from,DCW_530201.doc,integer,,,,,,,PhenX,PX530201040100,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Won_Card2,Number of candies won with card 2.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201040200,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Lost_Card2,Number of candies lost with card 2.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201040300,,,,,0,1,2,6,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Deck_Chosen_Card_3,Deck card 3 was chosen from,DCW_530201.doc,integer,,,,,,,PhenX,PX530201050100,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Won_Card3,Number of candies won with card 3.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201050200,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Lost_Card3,Number of candies lost with card 3.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201050300,,,,,0,1,2,6,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Deck_Chosen_Card_4,Deck card 4 was chosen from,DCW_530201.doc,integer,,,,,,,PhenX,PX530201060100,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Won_Card4,Number of candies won with card 4.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201060200,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Lost_Card4,Number of candies lost with card 4.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201060300,,,,,0,1,2,6,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Deck_Chosen_Card_5,Deck card 5 was chosen from,DCW_530201.doc,integer,,,,,,,PhenX,PX530201070100,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Won_Card5,Number of candies won with card 5.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201070200,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Lost_Card5,Number of candies lost with card 5.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201070300,,,,,0,1,2,6,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Deck_Chosen_Card_6,Deck card 6 was chosen from,DCW_530201.doc,integer,,,,,,,PhenX,PX530201080100,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Won_Card6,Number of candies won with card 6.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201080200,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Number_Candies_Lost_Card6,Number of candies lost with card 6.,DCW_530201.doc,integer,,,,,,,PhenX,PX530201080300,,,,,0,1,2,6,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530201_Deck_Chosen_Card_7,Deck card 7 was chosen from,DCW_530201.doc,integer,,,,,,,PhenX,PX530201090100,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
