VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530101_Dimension_Sorting_Border_Cards,Dimension used for sorting border cards.,DCW_530101.doc,enumerated,,,,,,,PhenX,PX530101010000,,,,,color,shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530101_Number_Cards_Correctly_Sorted,Number of cards correctly sorted: __________,DCW_530101.doc,string,,,,,,,PhenX,PX530101020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530101_Standard_Border_Version_Administered,Standard and Border version administered?,DCW_530101.doc,enumerated,,,,,,,PhenX,PX530101030000,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX530101_Combined_Score,Combined (Standard and Border version) score.,DCW_530101.doc,encoded values,,,,,,,PhenX,PX530101040000,,,,,0 = Participant failed the pre-switch phase of the standard version.,"1 = Participant passed the pre-switch phase of the standard version, but failed the post-switch phase.","2 = Participant passed the pre-switch and post-switch phases of the standard version, but failed the border version.",3 = Participant passed the pre-switch and post-switch phases of the standard version and passed the border version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
